alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
04;viandes, œufs, poissons;6260;Haché à base de bœuf ou Préparation de viande hachée de boeuf, 15% MG, cru;198;62,5;15,8;2,48;13,6;0,57;1,55
04;viandes, œufs, poissons;6270;Boeuf, paleron, cru;144;72,3;21,2;0;6,54;0;0
04;viandes, œufs, poissons;6271;Boeuf, paleron, braisé ou bouilli;251;51,8;36,8;0,2;11,4;0;0
04;viandes, œufs, poissons;6310;Boeuf, queue, bouillie/cuite à l'eau;196;0;28;0;9,3;0;0
04;viandes, œufs, poissons;6510;Veau, côte, crue;189;68,9;18,3;0;12,9;0;0
04;viandes, œufs, poissons;6511;Veau, côte, grillée/poêlée;156;69,4;25,1;0;6,24;0;0
04;viandes, œufs, poissons;6512;Veau, carré, sauté/poêlé;171;0;28;0;6,6;0;0
04;viandes, œufs, poissons;6513;Veau, carré, cru;145;74,1;19,5;0,4;7,25;0;0
04;viandes, œufs, poissons;6520;Veau, escalope, cuite;147;65;31;0;2,5;0;0
04;viandes, œufs, poissons;6521;Veau, escalope, crue;108;73,7;20,7;0,58;2,6;0;0
04;viandes, œufs, poissons;6522;Veau, noix, crue;111;75,4;21,8;0;2,58;0;0
04;viandes, œufs, poissons;6523;Veau, noix, grillée/poêlée;147;67,2;29,1;0;3,44;0;0
04;viandes, œufs, poissons;6524;Veau, noix, rôtie;147;67,2;29,1;0;3,44;0;0
04;viandes, œufs, poissons;6530;Veau, filet, cru;95;0;20,6;0;1,4;0;0
04;viandes, œufs, poissons;6531;Veau, filet, rôti/cuit au four;201;62,9;23,4;0,5;11,7;0;0
04;viandes, œufs, poissons;6535;Veau, steak haché 20% MG, cru;243;0;16,7;0,4;19,5;0;0
04;viandes, œufs, poissons;6536;Veau, steak haché 15% MG, cru;208;0;18,2;0;15;0;0
04;viandes, œufs, poissons;6540;Veau, poitrine, crue;176;70,3;18,7;0;11,2;0;0
04;viandes, œufs, poissons;6550;Veau, rôti, cru;145;66,5;27,3;0;3,96;0;0
04;viandes, œufs, poissons;6551;Veau, rôti, cuit;143;67;28,1;0;3,39;0;0
04;viandes, œufs, poissons;6560;Veau, épaule, crue;124;74,9;20,7;0;4,63;0;0
04;viandes, œufs, poissons;6562;Veau, épaule, grillée/poêlée;166;66,5;27,6;0;6,17;0;0
04;viandes, œufs, poissons;6563;Veau, épaule, braisée ou bouillie;219;55,9;36,4;0;8,14;0;0
04;viandes, œufs, poissons;6564;Veau, viande, cuite (aliment moyen);162;65;29,2;0,03;5,01;0;0
